unsorted_precinct,precinct,active_voters,group_total,weight
01-20,001,1421,179396,0.008
01-20,002,2660,179396,0.015
01-20,003,2458,179396,0.014
01-20,004,2197,179396,0.012
01-20,005,1386,179396,0.008
01-20,006,2154,179396,0.012
01-20,007,1597,179396,0.009
01-20,008,2248,179396,0.013
01-20,009,3045,179396,0.017
01-20,010,2499,179396,0.014
01-20,011,6607,179396,0.037
01-20,012,2674,179396,0.015
01-20,013,2963,179396,0.017
01-20,014,2521,179396,0.014
01-20,015,2522,179396,0.014
01-20,016,2878,179396,0.016
01-20,017,2050,179396,0.011
01-20,018,1572,179396,0.009
01-20,019,1588,179396,0.009
01-20,021,1945,179396,0.011
01-20,024,2861,179396,0.016
01-20,025,2347,179396,0.013
01-20,027,1364,179396,0.008
01-20,029,1821,179396,0.010
01-20,030,2509,179396,0.014
01-20,032,1909,179396,0.011
01-20,033,1834,179396,0.010
01-20,034,2109,179396,0.012
01-20,035,1462,179396,0.008
01-20,036,2280,179396,0.013
01-20,040,2785,179396,0.016
01-20,041,2325,179396,0.013
01-20,043,3103,179396,0.017
01-20,044,1457,179396,0.008
01-20,045,1618,179396,0.009
01-20,046,2479,179396,0.014
01-20,047,1483,179396,0.008
01-20,053,2866,179396,0.016
01-20,055,1713,179396,0.010
01-20,056,1391,179396,0.008
01-20,057,2016,179396,0.011
01-20,060,2069,179396,0.012
01-20,061,2248,179396,0.013
01-20,062,1996,179396,0.011
01-20,063,2028,179396,0.011
01-20,064,123,179396,0.001
01-20,065,1331,179396,0.007
01-20,066,1389,179396,0.008
01-20,067,1398,179396,0.008
01-20,068,1714,179396,0.010
01-20,075,2919,179396,0.016
01-20,076,2614,179396,0.015
01-20,079,1559,179396,0.009
01-20,080,2649,179396,0.015
01-20,081,3717,179396,0.021
01-20,084,2222,179396,0.012
01-20,085,1811,179396,0.010
01-20,086,983,179396,0.005
01-20,089,5345,179396,0.030
01-20,092,2822,179396,0.016
01-20,093,1671,179396,0.009
01-20,094,1465,179396,0.008
01-20,099,2024,179396,0.011
01-20,101,2247,179396,0.013
01-20,102,2308,179396,0.013
01-20,104,3243,179396,0.018
01-20,106,1731,179396,0.010
01-20,109,2208,179396,0.012
01-20,115,1412,179396,0.008
01-20,117,1807,179396,0.010
01-20,123,2343,179396,0.013
01-20,124,114,179396,0.001
01-20,125,1284,179396,0.007
01-20,130,1495,179396,0.008
01-20,149,4422,179396,0.025
01-20,204.1,3353,179396,0.019
01-20,205,545,179396,0.003
01-20,210,5361,179396,0.030
01-20,222,3283,179396,0.018
01-20,224,1303,179396,0.007
01-20,226,2123,179396,0.012
21-40,020,2103,178058,0.012
21-40,022,6158,178058,0.035
21-40,023,1965,178058,0.011
21-40,026,3163,178058,0.018
21-40,027,1123,178058,0.006
21-40,028,2115,178058,0.012
21-40,031,2456,178058,0.014
21-40,035,179,178058,0.001
21-40,037,1785,178058,0.010
21-40,038,1868,178058,0.010
21-40,039,2404,178058,0.014
21-40,042,2538,178058,0.014
21-40,047,987,178058,0.006
21-40,048,1824,178058,0.010
21-40,049,1994,178058,0.011
21-40,050,1929,178058,0.011
21-40,051,2522,178058,0.014
21-40,052,2562,178058,0.014
21-40,053,759,178058,0.004
21-40,054,2715,178058,0.015
21-40,056,253,178058,0.001
21-40,058,2046,178058,0.011
21-40,059,1379,178058,0.008
21-40,064,824,178058,0.005
21-40,069,3722,178058,0.021
21-40,070,2191,178058,0.012
21-40,071,1804,178058,0.010
21-40,072,1435,178058,0.008
21-40,073,1576,178058,0.009
21-40,074,2405,178058,0.014
21-40,077,2159,178058,0.012
21-40,078.1,1670,178058,0.009
21-40,079,56,178058,0.000
21-40,080,2,178058,0.000
21-40,082,3004,178058,0.017
21-40,083,3006,178058,0.017
21-40,085,701,178058,0.004
21-40,086,947,178058,0.005
21-40,087,2491,178058,0.014
21-40,088,2396,178058,0.013
21-40,089,9,178058,0.000
21-40,090,1521,178058,0.009
21-40,091,4066,178058,0.023
21-40,094,348,178058,0.002
21-40,095,1737,178058,0.010
21-40,096,1858,178058,0.010
21-40,097,1564,178058,0.009
21-40,098,2501,178058,0.014
21-40,100,2642,178058,0.015
21-40,102,1576,178058,0.009
21-40,103,3073,178058,0.017
21-40,105,3416,178058,0.019
21-40,107.1,3375,178058,0.019
21-40,108,2150,178058,0.012
21-40,110,1259,178058,0.007
21-40,111,2544,178058,0.014
21-40,112,2015,178058,0.011
21-40,113,3218,178058,0.018
21-40,115,105,178058,0.001
21-40,116,1682,178058,0.009
21-40,118,2762,178058,0.016
21-40,119,1549,178058,0.009
21-40,120,2333,178058,0.013
